word,count
범위에서,2872
갔는데,2870
순간에,2869
세워,2867
무단,2866
요기,2860
알았어요,2860
주장,2859
얘기는,2856
같네요,2853
불에,2853
풀어,2851
전체,2851
트럭은,2851
주차된,2848
사고도,2845
멈춰서,2845
예를,2845
전부터,2839
없네,2835
계십니다,2833
못했어요,2832
좋아,2831
갔으면,2826
정도는,2824
택시는,2824
댓글,2824
요때,2823
있느냐,2823
경차,2822
애들,2821
와요,2821
이곳에서,2821
킥보드,2821
없나요,2813
얼굴,2811
기본적으로,2809
않았습니다,2808
많아요,2807
가만히,2807
부분,2806
줘요,2805
섰다가,2801
하신,2801
내편,2801
되겠죠,2800
얘기한,2799
이만큼,2798
크다,2798
큰일,2792
바닥에,2792
몰라,2791
면서,2791
대한민국,2786
떨어진,2785
생겼어요,2782
증말,2781
상대측,2779
되나요,2778
백태,2776
빨간불,2776
차로가,2773
거구요,2773
같고,2770
주지,2766
문이,2765
침범,2765
초에,2764
다가,2764
네가,2764
자문,2760
도로에서,2759
내용을,2759
이니까,2757
신의,2756
다리,2755
만큼,2754
들어오면서,2746
명이,2746
가는데요,2745
개인,2744
다니는,2743
불구하고,2743
넘어서,2741
잘못이라,2741
애가,2738
대신,2727
없고요,2726
씁니다,2724
가자,2722
신호의,2721
측에서,2719
다섯,2719
했더니,2717
되지만,2716
횡단보도가,2716
하루,2716
가죠,2714
보험사도,2713
여태까지,2712
도와주세요,2712
보입니다,2710
말도,2707
듯이,2703
싶은데,2700
얘기할,2699
보기,2698
쫓아가,2692
멈췄는데,2691
나쁜,2690
입고,2688
뻔히,2683
없대요,2683
있을까,2681
그렇다고,2679
다칠,2676
있었으면,2675
잘못도,2675
회사,2673
안돼,2673
줄여,2672
보험을,2667
수리비가,2667
바뀔,2667
가로,2667
당신,2665
보다는,2661
아닐,2660
요즘은,2657
적어도,2654
갔다가,2654
봤을,2651
그러는,2645
개월,2643
된대요,2642
사이드,2641
옵니다,2632
완전,2632
그리,2630
둘다,2629
병원,2629
있었죠,2628
들어가요,2626
있잖아요,2622
일본,2621
있었을,2619
내야,2618
써야죠,2615
보상,2614
주고요,2613
심히,2611
쓸까요,2610
모르잖아요,2609
이런거,2608
된다,2608
이유로,2607
보복,2606
합니까,2604
잘못을,2603
놀래서,2599
잡아,2597
상태,2596
했잖아요,2596
민식이,2595
받으면,2591
치트,2590
그런게,2590
사고난,2590
봤으면,2589
해보겠습니다,2588
억울할,2588
아닐까요,2586
오래,2586
사망사고,2585
그것을,2585
측면에서,2585
님께서,2585
가로등이,2582
에게,2576
갖다가,2575
운전할,2574
붙여,2571
하다,2568
주로,2564
하여튼,2563
가네요,2562
그걸로,2558
요거요,2557
빵이다,2555
모르고,2555
겨우,2554
하셨어요,2551
법원의,2550
배상,2550
법원에서는,2549
나보다,2549
합의를,2547
모르는,2544
처가,2544
들어가야,2543
책의,2541
서는,2539
거꾸로,2538
양보,2533
그것이,2527
내리고,2527
앞뒤,2519
분께,2519
빵은,2518
번쩍,2518
추가,2516
보험료,2516
되겠네요,2513
계세요,2513
결과는,2512
데는,2511
새로,2506
들은,2506
비상,2505
있답니다,2503
무혐의,2502
년이,2500
검사,2499
그랬으면,2494
대가,2492
그러나요,2491
간다,2486
도로가,2483
같으면,2483
부분이,2480
글을,2475
해야지,2474
줄이면서,2473
들어야,2472
했는지,2471
앞으로는,2468
횡단,2466
받아요,2464
양쪽에,2464
자의,2462
보도,2461
달에,2460
비슷한,2460
방법,2455
이러,2453
되구요,2453
싶어,2450
계속해서,2450
아니에요,2450
됩니까,2448
서서,2446
시간에,2446
과속,2446
잘못했나요,2439
본인은,2439
공소권,2438
들어와요,2438
뛰어,2438
기다리고,2436
저와,2435
올해,2434
오디오가,2434
분들도,2433
나오죠,2430
아니지만,2429
입장에서는,2428
원고,2427
할머니,2426
경우에도,2425
했어,2425
가니까,2420
아까부터,2419
무진장,2419
법원,2415
요런,2412
영상은,2411
발이,2409
핸드폰,2408
달리고,2407
하니,2407
겁니까,2406
줬어요,2401
보험에,2401
특수,2398
지도,2395
들어가지,2395
고요,2394
무척,2394
시에,2392
좋아요,2392
이것,2390
나올까요,2390
까지,2388
대응,2385
나가,2381
선임비를,2380
멈추면,2377
근데이,2375
우회전할,2374
합의금,2373
학교,2372
가족들이,2371
나의,2370
어린이보호구역,2369
사고의,2368
봤는데,2367
없었습니다,2367
법이,2367
점점,2366
피해서,2364
한편,2362
기다려,2358
그랬어,2358
단계에서,2355
거리를,2355
보여집니다,2354
피해요,2352
여기서는,2352
실수로,2349
넘어진,2348
이란,2347
들어오면은,2344
비보호,2343
해당,2342
어허,2342
바뀌고,2340
있는게,2339
않겠습니까,2334
때렸어요,2331
움직일,2331
알아,2331
안보이죠,2331
승용차가,2329
못했다,2328
있거든요,2328
가겠습니다,2326
억울합니다,2326
가려서,2326
옆을,2324
있을까요,2322
오던,2320
교차로에서,2316
옷을,2315
어디에,2314
젊은,2312
길에서,2307
맞습니다,2305
위반으로,2303
사는,2301
거라고,2301
원이,2300
보죠,2299
없구요,2299
근데요,2299
운이,2299
그니까,2298
주장합니다,2296
요새,2294
나머지,2290
않을까,2289
여쭤,2288
내용,2288
라이트,2287
있네요,2287
헬멧,2286
모르지만,2285
됐을,2283
승객이,2283
보험사의,2282
어려워요,2282
여기서부터,2281
오토바이도,2281
왼쪽에,2278
가잖아요,2278
한참,2278
긴급,2274
써서,2272
일어,2272
싶어요,2272
잘못이야,2270
뻔했어요,2270
하던,2269
안에서,2266
얘기해,2265
이상한,2265
맞은,2264
가능성,2262
플레는,2262
판사는,2260
모르겠지만,2259
아저씨,2259
횡단보도에,2256
전부다,2256
차량의,2255
속도는,2255
실질적으로,2253
가입,2252
사고나,2251
이걸로,2246
안전하게,2245
낮에,2245
데가,2244
선임비,2244
여하튼,2242
경찰관,2238
이죠,2237
손이,2237
피해자가,2233
멈춰요,2230
겠죠,2230
하겠죠,2228
뭐지,2228
동시에,2227
박사,2223
무리하게,2223
지금까지,2222
한대,2219
했어야,2218
요걸,2215
매트,2213
저의,2211
의견을,2211
갔을,2210
뭐죠,2210
도움,2210
상황에,2209
하실,2209
보다,2208
되기,2207
없지,2206
여기로,2205
어려울,2203
앞차에,2201
깜빡이를,2199
하루에,2199
합니다,2199
오른쪽에서,2198
번쩍번쩍,2198
의해서,2196
파란,2195
위자료,2195
기원합니다,2194
처벌이,2191
했으니까,2191
아래,2189
그지,2186
납니다,2185
넣어,2183
신호를,2182
둘이,2177
맞나요,2176
드릴게요,2176
이해가,2176
사람들은,2175
안되는,2169
멈추,2167
에어,2167
시스템,2166
요요,2164
굉장히,2163
들었어요,2162
사고입니다,2156
나오는데,2154
남의,2149
커야,2149
스스로,2148
하나는,2147
어이고,2147
벅차,2141
쉽게,2140
벗어,2138
해보세요,2135
있었구요,2135
이름,2134
얻어,2133
게다가,2133
에이,2132
글이,2131
했지만,2130
말씀하십니다,2130
보이네,2130
사랑,2130
왔는데,2126
열고,2125
한다는,2124
가입하고,2124
공간,2123
과실비율은,2121
곳이,2121
전자,2120
그렇고,2119
해주고,2118
사건을,2117
썬팅,2117
했구요,2117
됐죠,2115
주차장,2114
성대,2114
트레일러,2113
어두운,2111
과실은,2108
운전자에게,2108
아닌지,2106
블록,2104
거니까,2104
차로는,2104
잘못이죠,2101
깜빡이는,2100
끝날,2100
반강,2100
불안하고,2096
들어오네요,2095
있으니까요,2095
되나,2094
여기쯤,2093
멈추게,2092
주변에,2090
내일,2090
오니까,2089
억울한,2089
해주세요,2088
그러죠,2086
것인지,2085
끝난,2085
나와야,2083
시소,2081
렌터카,2081
거요,2080
드리고,2080
대기,2079
찾을,2077
니가,2075
불빛이,2075
너는,2072
같아서,2071
여러분들도,2071
집에서,2070
년도,2070
생각하는,2070
못하는,2069
자문을,2069
나왔대요,2068
주신,2061
그가,2060
말고요,2058
중요합니다,2056
멀리서,2055
수백만,2054
듣고,2053
언제쯤,2052
일도,2052
내면,2052
앞이,2050
처리하고,2050
계시죠,2049
지나고,2047
정확히,2047
빨라요,2046
없습니다,2045
중앙선을,2043
나가야,2042
한거,2040
거기는,2040
종합보험,2038
아침에,2038
빵에,2037
괜찮아,2033
마음에,2032
관계,2031
계신,2030
이러한,2029
칼치기,2029
원래는,2025
경우에는,2024
도움을,2021
들어갔는데,2021
보장해,2020
양보해,2020
안쪽으로,2018
그러고서,2017
사람의,2017
기분,2014
어떨까요,2014
들어왔습니다,2011
덤프,2010
있었나요,2010
사회,2008
멈추는데,2007
사건에,2005
했고,2005
나무,2005
첫째,2004
출발할,2000
알았죠,1999
혐의,1999
자랄,1998
쪽은,1996
발을,1994
않았다,1992
피하다가,1991
어디까지,1990
찍어,1989
보여서,1985
보호구역,1985
않습니까,1984
거라,1983
높은,1982
꺾기,1982
이쪽은,1982
배상해,1980
것입니다,1979
뚫고,1977
나랑,1977
분명히,1977
손님,1976
길에,1973
그것,1971
줄이고,1969
정도면,1968
하자,1966
핸들,1964
아이쿠,1964
뒤늦게,1960
이면,1960
잘못은,1960
있었잖아요,1959
해라,1959
사과,1958
초등학교,1958
맞다,1956
마시구요,1954
박자,1954
밟은,1953
않는다,1949
문철,1948
언니가,1948
그랬죠,1948
위로,1946
벌금형,1945
다들,1945
단지,1942
어려운,1941
판사도,1940
한쪽은,1939
피고,1939
좋을,1939
나가는데,1938
있어,1937
못해서,1936
가해차량이,1935
아빠가,1934
않아서,1933
그러는데요,1933
가해자가,1931
보이,1929
어떠신지요,1928
했답니다,1927
났으면,1926
저쪽,1925
잘못된,1925
평소에,1924
그래서이,1924
않도록,1924
시도,1923
아니니까,1922
않았어요,1920
속에,1919
급히,1916
맞아요,1914
입은,1913
손해보험이,1912
연락,1912
이유,1911
이겁니다,1911
못합니다,1910
화살표,1909
지금처럼,1908
한데요,1907
났습니다,1906
이런데,1905
여러분은,1905
찍은,1905
전에는,1902
젖어,1902
보이고요,1902
그림,1900
중간,1900
바꿔,1900
그는,1899
이상이,1899
가로등,1899
보험도,1897
좋은데,1895
쪽을,1893
그렇더라도,1893
자고,1892
끝에,1891
어찌,1891
한문철에,1890
머리가,1887
즉시,1887
가는게,1885
막혀,1884
있는데요,1880
잘못입니까,1879
좋겠어요,1879
딜레마,1879
올라왔습니다,1878
대체,1878
줄여야,1877
시까지,1877
말라고,1877
생긴,1877
번도,1876
하하,1875
선임한,1875
다치지,1875
블랙박스는,1875
자동차의,1874
차서,1873
점이,1872
깜빡깜빡,1872
내용이,1870
마침,1869
판결문,1869
검찰,1869
지시,1868
봤어,1866
화가,1864
지원,1864
수리비,1863
마시고,1862
잘못하면,1859
결정,1856
보시죠,1856
말입니다,1855
보험처리,1854
코어,1853
실수,1853
사이에,1852
보시고,1852
저처럼,1851
같구요,1851
되서,1850
만들어야죠,1850
보면요,1848
이때는,1848
갔어,1848
밤에는,1847
드릴,1847
줄여서,1846
거래요,1846
가입해야겠어요,1846
들어오는데,1844
짧은,1842
이나,1841
여유,1840
나오네요,1840
